DIS,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
R1-001,"99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,8%","99,8%","99,8%","99,8%","99,8%"
R1-002,"98,1%","98,2%","98,3%","98,3%","98,4%","98,4%","98,4%","98,4%","98,4%","99,6%","99,6%","99,6%"
R1-003,"99,1%","99,1%","99,1%","99,0%","99,0%","99,0%","99,3%","99,3%","99,3%","99,3%","99,3%","99,3%"
R1-005,"99,0%","99,0%","99,0%","99,0%","99,0%","99,0%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%"
R1-008,"98,3%","98,2%","98,6%","98,7%","98,8%","98,7%","98,9%","99,1%","99,2%","99,2%","99,3%","99,2%"
R1-009,"99,9%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","99,9%","100,0%","100,0%","100,0%"
R1-014,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-015,"99,7%","99,7%","99,7%","99,6%","99,6%","99,6%","99,7%","99,7%","99,7%","99,6%","99,6%","99,5%"
R1-016,"97,1%","97,7%","98,0%","98,4%","98,6%","98,8%","99,1%","99,2%","98,9%","99,0%","98,9%","99,0%"
R1-017,"97,8%","98,2%","98,3%","98,4%","98,4%","98,4%","98,5%","98,5%","98,6%","98,8%","99,1%","99,1%"
R1-018,"98,8%","98,9%","98,9%","99,7%","99,8%","99,8%","99,8%","99,8%","99,8%","99,9%","99,9%","99,9%"
R1-019,"98,7%","98,8%","98,7%","98,8%","98,8%","98,7%","98,6%","98,8%","99,0%","99,0%","99,1%","99,1%"
R1-020,"99,5%","99,6%","99,5%","99,6%","99,7%","99,7%","99,7%","99,8%","99,8%","99,8%","99,8%","99,8%"
R1-021,"99,7%","99,7%","99,7%","99,7%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,7%","99,7%"
R1-022,"99,7%","99,7%","99,7%","99,7%","99,8%","99,7%","99,8%","99,8%","99,8%","99,8%","99,8%","99,7%"
R1-023,"93,6%","95,5%","95,5%","95,3%","95,4%","95,4%","95,3%","95,4%","95,3%","95,3%","95,2%","95,2%"
R1-024,"98,6%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%","99,1%","99,0%","99,1%","99,1%"
R1-025,"98,7%","98,7%","98,9%","99,1%","99,3%","99,3%","99,4%","99,4%","99,4%","99,6%","99,5%","99,6%"
R1-026,"99,0%","99,0%","99,1%","99,1%","99,2%","99,1%","99,2%","99,2%","99,2%","99,2%","99,3%","99,5%"
R1-027,"99,9%","99,9%","99,9%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-028,"99,3%","99,3%","99,4%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%","99,5%"
R1-029,"57,0%","57,0%","57,0%","57,4%","57,3%","56,2%","57,8%","57,8%","57,6%","57,6%","84,8%","84,5%"
R1-030,"99,9%","100,0%","100,0%","99,3%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,1%","99,1%"
R1-031,"99,9%","99,9%","100,0%","100,0%","99,9%","100,0%","100,0%","100,0%","100,0%","99,9%","99,9%","100,0%"
R1-032,"97,1%","96,6%","96,4%","98,2%","98,1%","98,1%","98,2%","98,2%","98,1%","98,2%","98,2%","98,4%"
R1-033,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-034,"98,9%","98,9%","99,0%","98,5%","98,5%","98,6%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-035,"98,9%","99,0%","99,1%","99,4%","99,6%","99,8%","99,8%","99,8%","99,9%","99,9%","99,9%","99,9%"
R1-036,"99,2%","99,2%","99,2%","99,2%","99,3%","99,3%","99,3%","99,3%","99,3%","99,2%","99,4%","99,4%"
R1-037,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-038,"86,3%","90,5%","90,8%","92,8%","92,8%","93,0%","93,2%","93,6%","94,0%","94,0%","94,1%","94,3%"
R1-039,"99,9%","99,9%","99,9%","100,0%","100,0%","99,9%","100,0%","99,9%","100,0%","100,0%","100,0%","100,0%"
R1-040,"99,8%","99,8%","99,8%","99,4%","99,4%","99,6%","99,4%","99,5%","99,5%","99,5%","99,4%","99,3%"
R1-041,"99,1%","98,7%","98,6%","98,2%","98,5%","98,5%","98,2%","98,2%","98,8%","97,6%","99,3%","99,8%"
,,,,,,,,,,,,
DIS,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
R1-042,"98,2%","99,2%","99,2%","99,2%","99,1%","99,0%","99,2%","99,1%","99,1%","99,0%","99,0%","98,9%"
R1-043,"99,9%","99,8%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%"
R1-044,"98,3%","98,4%","98,4%","98,5%","98,5%","98,5%","98,5%","98,4%","98,3%","98,4%","98,3%","98,1%"
R1-045,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-046,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","99,9%","100,0%","100,0%","100,0%"
R1-047,"99,3%","99,3%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-048,"98,2%","98,4%","98,5%","98,5%","98,5%","98,5%","98,6%","98,7%","98,8%","98,7%","98,7%","98,8%"
R1-049,"98,4%","98,8%","99,3%","99,7%","99,8%","99,8%","99,8%","99,8%","99,9%","99,9%","99,9%","99,9%"
R1-050,"99,9%","99,9%","99,9%","100,0%","100,0%","100,0%","99,9%","100,0%","99,9%","99,9%","99,9%","99,9%"
R1-051,"99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,3%","99,3%","99,3%"
R1-052,"99,5%","99,7%","99,8%","99,7%","99,7%","99,8%","99,3%","99,0%","98,9%","99,4%","99,6%","99,6%"
R1-053,"86,8%","87,2%","92,3%","93,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,2%","99,3%","99,3%"
R1-054,"99,8%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%"
R1-055,"99,7%","99,7%","99,6%","99,8%","99,8%","99,8%","97,4%","97,4%","97,3%","97,1%","97,0%","96,9%"
R1-056,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-057,"99,1%","99,2%","99,2%","99,3%","99,3%","99,5%","99,6%","99,6%","99,6%","99,7%","99,7%","99,8%"
R1-058,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%"
R1-059,"89,2%","91,5%","92,4%","92,4%","93,4%","93,7%","91,9%","91,8%","92,9%","93,1%","92,9%","93,0%"
R1-060,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-061,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-062,"98,4%","99,0%","99,1%","99,1%","99,2%","99,1%","99,1%","99,4%","99,4%","99,5%","99,5%","99,6%"
R1-063,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-064,"98,3%","98,4%","98,5%","97,9%","97,9%","97,9%","97,9%","97,9%","97,9%","98,0%","98,0%","97,9%"
R1-065,"85,9%","86,0%","86,1%","86,0%","86,1%","86,0%","86,1%","85,9%","85,9%","85,8%","85,7%","85,8%"
R1-066,"99,7%","99,8%","99,8%","99,6%","99,7%","99,7%","99,7%","99,7%","99,6%","99,9%","99,9%","99,9%"
R1-067,"98,7%","98,7%","99,0%","99,0%","99,0%","99,0%","99,3%","99,3%","99,3%","99,3%","99,4%","99,6%"
R1-068,"99,5%","99,8%","99,6%","99,8%","99,9%","100,0%","100,0%","99,9%","99,9%","99,9%","99,9%","100,0%"
R1-069,"99,5%","99,8%","99,8%","99,7%","99,7%","99,7%","99,6%","99,6%","99,6%","99,2%","99,6%","99,7%"
R1-070,"100,0%","100,0%","100,0%","100,0%","99,8%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","99,8%"
R1-071,"99,9%","99,9%","99,9%","99,8%","99,8%","99,7%","99,7%","99,6%","99,5%","99,4%","100,0%","99,8%"
R1-072,"97,1%","97,2%","97,4%","97,3%","97,2%","97,1%","97,1%","97,0%","97,4%","97,4%","97,4%","97,3%"
R1-073,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-074,"99,4%","99,4%","99,4%","99,4%","99,4%","99,4%","99,4%","99,4%","99,4%","99,4%","99,4%","99,4%"
R1-075,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%"
R1-076,"99,8%","99,8%","99,7%","99,7%","99,7%","99,6%","99,1%","99,4%","99,6%","99,9%","99,9%","99,8%"
R1-077,"60,2%","60,3%","61,2%","84,0%","85,0%","87,4%","92,3%","92,4%","94,1%","94,5%","94,9%","95,7%"
R1-078,"99,7%","99,7%","99,7%","99,3%","99,3%","99,2%","99,0%","98,8%","98,9%","99,9%","99,9%","99,8%"
R1-079,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-080,"99,1%","99,1%","99,0%","99,0%","98,7%","98,7%","98,7%","99,1%","99,0%","99,0%","99,0%","99,0%"
R1-081,"100,0%","100,0%","100,0%","99,8%","99,8%","99,8%","99,9%","100,0%","100,0%","99,9%","99,9%","99,9%"
R1-082,"99,7%","99,9%","99,9%","99,9%","99,9%","99,7%","99,6%","99,6%","99,7%","99,7%","99,4%","99,7%"
,,,,,,,,,,,,
DIS,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
R1-083,"99,9%","99,9%","100,0%","100,0%","100,0%","99,9%","99,9%","100,0%","99,9%","100,0%","100,0%","100,0%"
R1-084,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-085,"85,6%","91,5%","91,7%","92,9%","93,5%","93,6%","93,7%","93,8%","92,6%","94,1%","94,1%","94,1%"
R1-086,"99,2%","99,3%","99,4%","99,4%","99,5%","99,4%","99,5%","99,5%","99,5%","99,5%","99,5%","99,6%"
R1-087,"99,3%","99,3%","99,3%","99,3%","99,2%","99,3%","99,4%","99,4%","99,2%","99,3%","99,3%","99,3%"
R1-088,"98,9%","98,9%","98,9%","99,0%","99,1%","99,2%","99,2%","99,2%","99,3%","99,4%","99,4%","99,4%"
R1-089,"91,9%","92,4%","93,3%","94,1%","94,1%","94,1%","94,2%","94,2%","94,3%","94,2%","94,3%","94,5%"
R1-090,"99,7%","99,8%","99,7%","99,8%","99,8%","99,8%","99,8%","99,8%","99,9%","99,9%","99,9%","99,9%"
R1-091,"95,4%","95,4%","95,6%","99,0%","99,1%","99,1%","99,2%","99,1%","99,2%","99,1%","99,1%","99,2%"
R1-092,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-093,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%"
R1-094,"97,9%","98,1%","98,1%","98,2%","98,2%","98,2%","98,1%","98,1%","98,2%","98,2%","98,2%","98,2%"
R1-095,"88,1%","88,1%","88,1%","100,0%","100,0%","100,0%","99,9%","99,8%","99,8%","99,7%","99,6%","99,6%"
R1-096,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","99,9%"
R1-097,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","99,9%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-098,"99,9%","99,9%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,8%","99,9%","99,9%"
R1-099,"88,8%","96,8%","96,9%","97,1%","97,1%","97,7%","97,7%","98,2%","97,9%","97,7%","97,9%","97,8%"
R1-100,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-101,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-102,"98,4%","98,3%","98,3%","98,4%","98,4%","98,3%","98,4%","98,4%","98,4%","98,4%","98,5%","98,4%"
R1-103,"97,9%","98,0%","98,1%","98,1%","98,1%","97,9%","98,0%","98,3%","98,3%","98,2%","98,3%","98,3%"
R1-104,"99,9%","100,0%","100,0%","100,0%","100,0%","100,0%","99,9%","99,9%","99,9%","100,0%","100,0%","100,0%"
R1-105,"99,7%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","99,6%","100,0%","100,0%","100,0%"
R1-106,"93,8%","93,6%","93,5%","93,6%","93,5%","93,5%","93,4%","93,4%","93,3%","93,1%","93,1%","92,9%"
R1-107,"93,9%","94,6%","96,0%","96,5%","96,7%","96,7%","96,7%","96,9%","97,0%","97,0%","97,3%","97,4%"
R1-108,"98,4%","98,5%","98,5%","98,7%","98,9%","99,1%","99,2%","99,3%","99,3%","99,4%","99,5%","99,5%"
R1-109,"99,4%","99,4%","99,4%","99,5%","99,5%","99,5%","99,6%","99,6%","99,6%","99,6%","99,6%","99,6%"
R1-110,"99,9%","99,9%","99,9%","99,9%","99,9%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-111,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-112,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-113,"99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,9%"
R1-114,"99,7%","99,5%","99,7%","99,6%","99,7%","99,7%","99,6%","99,5%","99,6%","99,6%","99,6%","99,5%"
R1-115,"98,8%","98,9%","98,9%","98,9%","98,9%","98,9%","99,0%","99,0%","99,0%","99,0%","99,0%","99,1%"
R1-116,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","99,9%","100,0%","100,0%","100,0%"
R1-117,"98,8%","98,9%","98,9%","99,0%","99,2%","99,2%","99,2%","99,3%","99,4%","99,4%","99,4%","99,5%"
R1-118,"99,4%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
R1-119,"97,6%","98,9%","98,8%","98,8%","98,9%","98,8%","98,9%","98,9%","98,8%","98,7%","98,8%","99,0%"
R1-120,"99,7%","99,8%","99,8%","99,6%","99,8%","99,8%","99,8%","99,7%","99,7%","99,6%","98,8%","99,6%"
R1-121,"99,6%","99,6%","99,7%","99,7%","99,4%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%","99,7%"
R1-122,"99,9%","99,9%","99,9%","99,9%","99,9%","99,9%","99,5%","99,9%","99,6%","99,8%","99,8%","99,8%"
R1-123,"100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%","100,0%"
,,,,,,,,,,,,
