CODIGO DIS,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
R1-274,0,0,0,SIN DATOS,SIN DATOS,SIN DATOS
R1-275,0,0,0,0,0,-0.15
R1-276,SIN DATOS,SIN DATOS,SIN DATOS,0.74,0.76,0.76
R1-277,-0.18,-0.18,-0.1,-0.1,-0.23,-0.24
R1-278,0.69,0.76,0.79,0.83,0.89,0.9
R1-279,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-281,0,0,0,SIN DATOS,SIN DATOS,SIN DATOS
R1-282,0,0,0,0,0,0
R1-283,0,0,0,0,0,0
R1-284,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
R1-285,SIN DATOS,SIN DATOS,SIN DATOS,0,0,0
R1-286,0,0,0,0,0,0
R1-287,0,0,0,0,0,0
R1-288,0.38,0.39,0.39,0.51,0.51,0.63
R1-289,0,0,0,SIN DATOS,SIN DATOS,SIN DATOS
R1-290,-0.04,-0.04,-0.04,SIN DATOS,SIN DATOS,SIN DATOS
R1-291,0,0,0,0,0,0
R1-293,0.45,0.45,0.45,0.44,0.44,0.44
R1-294,0.87,0.87,0.87,0.89,0.9,0.9
R1-295,0,0,0,0,0,0
R1-296,0.99,0.99,0.99,0.99,0.99,0.99
R1-297,0,0,0,0,0,0
R1-298,0,0,0,0,0,0
R1-299,0.4,0.42,0.44,0.45,0.47,0.49
R1-300,0.62,0.64,0.64,0.64,0.64,0.67
R1-301,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-302,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-304,0,0,0,0,0,0
R1-305,0.76,0.76,0.76,0.76,0.76,0.76
R1-306,0,0,0,0,0,0
R1-307,0.78,0.78,0.79,0.79,0.79,0.83
R1-309,0.4,0.39,0.4,0.4,0.4,0.4
R1-310,0,0,0,SIN DATOS,SIN DATOS,SIN DATOS
R1-313,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
CODIGO DIS,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE
R1-314,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS,SIN DATOS
R1-317,0,0,0,0,0,0
R1-319,0.45,0.46,0.46,0.52,0.55,0.59
R1-320,0.94,0.94,0.94,0.94,0.94,0.94
